261938,38371711,2018-02-02 00:00:00,02/05/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,11206.0,540 GRAND STREET,GRAND STREET,,,,,LATLONG,BROOKLYN,,,Closed,03/04/2018 04:07:39 PM,02/05/2018 12:00:00 AM,01 BROOKLYN,BROOKLYN,998135.0,198277.0,Unspecified,BROOKLYN,,,,,,,,40.710890418372976,-73.94991622971794,"(40.71089041837298, -73.94991622971794)"
261939,38371697,2018-02-02 00:00:00,02/05/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,11206.0,538 GRAND STREET,GRAND STREET,,,,,LATLONG,BROOKLYN,,,Closed,03/04/2018 04:07:04 PM,02/05/2018 12:00:00 AM,01 BROOKLYN,BROOKLYN,998114.0,198253.0,Unspecified,BROOKLYN,,,,,,,,40.71082457701557,-73.9499920269925,"(40.710824577015565, -73.9499920269925)"
261940,38371669,2018-02-02 00:00:00,02/05/2018 04:21:15 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,11101.0,41-10 10 STREET,10 STREET,41 AVENUE,41 ROAD,,,ADDRESS,Long Island City,,,Closed,03/04/2018 04:02:38 PM,02/05/2018 04:21:15 PM,01 QUEENS,QUEENS,999267.0,214537.0,Unspecified,QUEENS,,,,,,,,40.75551826274268,-73.94579676819353,"(40.75551826274269, -73.94579676819353)"
261941,38371490,2018-02-02 00:00:00,02/06/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Mixed Use Building,11385.0,1679 GROVE STREET,GROVE STREET,GROVE STREET,CYPRESS AVENUE,,,ADDRESS,Ridgewood,,,Closed,03/04/2018 10:19:16 AM,02/06/2018 12:00:00 AM,05 QUEENS,QUEENS,1008772.0,195239.0,Unspecified,QUEENS,,,,,,,,40.702528742881725,-73.91155921414276,"(40.70252874288173, -73.91155921414276)"
261942,38371456,2018-02-02 00:00:00,02/02/2018 02:37:07 PM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,11355.0,133-57 41 ROAD,41 ROAD,FRAME PLACE,MAIN STREET,,,ADDRESS,Flushing,,,Closed,02/16/2018 01:26:19 PM,02/02/2018 02:37:01 PM,07 QUEENS,QUEENS,1031310.0,215140.0,Unspecified,QUEENS,,,,,,,,40.75706085790872,-73.83013487396458,"(40.75706085790872, -73.83013487396458)"
261943,38371387,2018-02-02 00:00:00,02/05/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10457.0,219 EAST  178 STREET,EAST  178 STREET,GRAND CONCOURSE,ANTHONY AVENUE,,,ADDRESS,BRONX,,,Closed,03/04/2018 05:22:59 PM,02/05/2018 12:00:00 AM,05 BRONX,BRONX,1010716.0,249108.0,Unspecified,BRONX,,,,,,,,40.8503792490989,-73.90433583458798,"(40.8503792490989, -73.90433583458798)"
261944,38371352,2018-02-02 00:00:00,02/09/2018 12:00:01 AM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,11235.0,2027 EMMONS AVENUE,EMMONS AVENUE,OCEAN AVENUE,EAST 21 STREET,,,ADDRESS,BROOKLYN,,,Closed,02/16/2018 08:55:21 PM,02/09/2018 11:54:17 AM,15 BROOKLYN,BROOKLYN,998709.0,151937.0,Unspecified,BROOKLYN,,,,,,,,40.58369626939972,-73.94794511790387,"(40.58369626939972, -73.94794511790388)"
261945,38371210,2018-02-02 00:00:00,02/02/2018 09:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,3 or More,Cafeteria - College/University,10038.0,1 PACE PLAZA,PACE PLAZA,SPRUCE STREET,BEND,,,ADDRESS,NEW YORK,,,Closed,02/16/2018 10:00:12 AM,02/02/2018 09:00:00 AM,01 MANHATTAN,MANHATTAN,982630.0,198644.0,Unspecified,MANHATTAN,,,,,,,,40.71190849281292,-74.00584349605569,"(40.71190849281292, -74.00584349605568)"
261946,38370995,2018-02-02 00:00:00,02/12/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11214.0,8224 BAY PARKWAY,BAY PARKWAY,82 STREET,83 STREET,,,ADDRESS,BROOKLYN,,,Closed,03/04/2018 07:43:12 PM,02/12/2018 12:00:00 AM,11 BROOKLYN,BROOKLYN,986569.0,159343.0,Unspecified,BROOKLYN,,,,,,,,40.604035739400885,-73.9916486589687,"(40.60403573940088, -73.99164865896871)"
261947,38370948,2018-02-02 00:00:00,02/06/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Dog,3+ Family Mixed Use Building,10075.0,1374 3 AVENUE,3 AVENUE,EAST 78 STREET,EAST 79 STREET,,,ADDRESS,NEW YORK,,,Closed,03/04/2018 01:27:26 PM,02/06/2018 12:00:00 AM,08 MANHATTAN,MANHATTAN,995958.0,221162.0,Unspecified,MANHATTAN,,,,,,,,40.77370717599125,-73.95772892348971,"(40.77370717599125, -73.95772892348971)"
261948,38370919,2018-02-02 00:00:00,02/06/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Dog,1-2 Family Dwelling,11434.0,175-40 BAISLEY BOULEVARD,BAISLEY BOULEVARD,120 AVENUE,177 STREET,,,ADDRESS,Jamaica,,,Closed,03/04/2018 11:02:14 AM,02/06/2018 12:00:00 AM,12 QUEENS,QUEENS,1048161.0,188932.0,Unspecified,QUEENS,,,,,,,,40.68502072726172,-73.76955955623116,"(40.685020727261715, -73.76955955623116)"
261949,38370846,2018-02-02 00:00:00,02/05/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,10003.0,54 EAST    7 STREET,EAST    7 STREET,2 AVENUE,1 AVENUE,,,ADDRESS,NEW YORK,,,Closed,03/04/2018 02:25:10 PM,02/05/2018 12:00:00 AM,03 MANHATTAN,MANHATTAN,987710.0,204402.0,Unspecified,MANHATTAN,,,,,,,,40.72771228778301,-73.98751648686998,"(40.72771228778301, -73.98751648686999)"
261950,38370838,2018-02-02 00:00:00,02/05/2018 03:38:16 PM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Odor,3+ Family Apartment Building,11377.0,59-40 QUEENS BOULEVARD,QUEENS BOULEVARD,59 PLACE,60 STREET,,,ADDRESS,Woodside,,,Closed,03/04/2018 12:53:05 PM,02/05/2018 03:38:16 PM,02 QUEENS,QUEENS,1010543.0,209465.0,Unspecified,QUEENS,,,,,,,,40.74157056668698,-73.90511637399953,"(40.74157056668698, -73.90511637399953)"
261951,38370826,2018-02-02 00:00:00,02/16/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,10468.0,40 WEST MOSHOLU PARKWAY SOUTH,WEST MOSHOLU PARKWAY SOUTH,BEND,BEND,,,ADDRESS,BRONX,,,Closed,03/04/2018 03:05:00 PM,02/16/2018 12:00:00 AM,07 BRONX,BRONX,1015833.0,259742.0,Unspecified,BRONX,,,,,,,,40.87954950997119,-73.88578979887555,"(40.87954950997119, -73.88578979887554)"
261952,38370803,2018-02-02 00:00:00,02/05/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,11206.0,530 GRAND STREET,GRAND STREET,,,,,LATLONG,BROOKLYN,,,Closed,03/04/2018 04:05:05 PM,02/05/2018 12:00:00 AM,01 BROOKLYN,BROOKLYN,998055.0,198295.0,Unspecified,BROOKLYN,,,,,,,,40.71093994927274,-73.95020475606209,"(40.71093994927274, -73.9502047560621)"
261953,38370784,2018-02-02 00:00:00,02/05/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,1-2 Family Dwelling,11001.0,84-34 261ST STREET,261ST STREET,,,,,LATLONG,FLORAL PARK,,,Closed,03/04/2018 09:14:22 AM,02/05/2018 12:00:00 AM,13 QUEENS,QUEENS,1065367.0,207691.0,Unspecified,QUEENS,,,,,,,,40.73636847755176,-73.70729521150824,"(40.736368477551764, -73.70729521150824)"
261954,38370580,2018-02-02 00:00:00,02/12/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,11204.0,6309 BAY PARKWAY,BAY PARKWAY,63 STREET,64 STREET,,,ADDRESS,BROOKLYN,,,Closed,03/04/2018 08:26:42 PM,02/12/2018 12:00:00 AM,11 BROOKLYN,BROOKLYN,989711.0,163296.0,Unspecified,BROOKLYN,,,,,,,,40.614884533726546,-73.9803302778394,"(40.614884533726546, -73.98033027783941)"
261955,38370486,2018-02-02 00:00:00,02/13/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,1-2 Family Dwelling,11229.0,1579 EAST   28 STREET,EAST   28 STREET,KINGS HIGHWAY,AVENUE P,,,ADDRESS,BROOKLYN,,,Closed,03/04/2018 03:19:34 PM,02/13/2018 12:00:00 AM,15 BROOKLYN,BROOKLYN,999196.0,162513.0,Unspecified,BROOKLYN,,,,,,,,40.6127244380092,-73.94616843606478,"(40.612724438009195, -73.94616843606478)"
